Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.380032726270431276e+01,1.567992063552489945e+01,6.196431350708007102e+00,1.999800121638574792e-04,1.999800121638574792e-04,6.666670087724923816e-05
1.380032726270431276e+01,1.567992063552489945e+01,6.196431350708007102e+00,1.999800121638574792e-04,1.999800121638574792e-04,6.666670087724923816e-05,6.897043721694126717e+00,7.837065816257597461e+00,3.094217681884765980e+00,9.997499944099476950e-05,9.997499944099476950e-05,3.333335043862462586e-05
2.069737098439843948e+01,2.351698645178249691e+01,9.290649032592773082e+00,2.999550116048522487e-04,2.999550116048522487e-04,1.000000513158738640e-04,6.895943422863876293e+00,7.835649686508247669e+00,3.092211914062501066e+00,9.996502871346707886e-05,9.996502871346707886e-05,3.333335043862461231e-05
2.759331440726231577e+01,3.135263613829074458e+01,1.238286094665527415e+01,3.999200403183193276e-04,3.999200403183193276e-04,1.333334017544984763e-04,6.894834745489649919e+00,7.834235713383346678e+00,3.090202713012693891e+00,9.995499016253158245e-05,9.995499016253158245e-05,3.333335043862462586e-05
3.448814915275196569e+01,3.918687185167409126e+01,1.547306365966796804e+01,4.998750304808509100e-04,4.998750304808509100e-04,1.666667521931231022e-04,6.893732959280129080e+00,7.832817796398131804e+00,3.088193511962888493e+00,9.994504669895497122e-05,9.994504669895497122e-05,3.333335043862462586e-05
4.138188211203209477e+01,4.701968964807222306e+01,1.856125717163085653e+01,5.998200771798058812e-04,5.998200771798058812e-04,2.000001026317477280e-04,6.892624320589817444e+00,7.831398983483190079e+00,3.086186218261723013e+00,9.993505868506125708e-05,9.993505868506125708e-05,3.333333879709243232e-05
4.827450643262191221e+01,5.485108863155541314e+01,2.164744338989257955e+01,6.997551358648671383e-04,6.997551358648671383e-04,2.333334414288401604e-04,6.891521045058546235e+00,7.829991492894748717e+00,3.084178161621093039e+00,9.992507266705201192e-05,9.992507266705201192e-05,3.333336208015679229e-05
5.516602747768045845e+01,6.268108012445016186e+01,2.473162155151367259e+01,7.996802085319191502e-04,7.996802085319191502e-04,2.666668035089969527e-04,6.890413965840295418e+00,7.828567832415259886e+00,3.082172393798824572e+00,9.991499559590334614e-05,9.991499559590334614e-05,3.333333879709245943e-05
6.205644144352075386e+01,7.050964795686542175e+01,2.781379394531249716e+01,8.995952041278224964e-04,8.995952041278224964e-04,3.000001423060894121e-04,6.889309208015887975e+00,7.827161617801380089e+00,3.080168151855474434e+00,9.990510662625400919e-05,9.990510662625400919e-05,3.333336208015679229e-05
6.894575065153664184e+01,7.833680957466680184e+01,3.089396209716797159e+01,9.995003107540765055e-04,9.995003107540765055e-04,3.333335043862462044e-04,6.888197591420052390e+00,7.825742287002810826e+00,3.078164672851556816e+00,9.989512659297180089e-05,9.989512659297180089e-05,3.333333879709245943e-05
7.583394824295669423e+01,8.616255186166961266e+01,3.397212677001952841e+01,1.099395437347048306e-03,1.099395437347048306e-03,3.666668431833386638e-04,6.887097451264494907e+00,7.824328173489263349e+00,3.076159667968752842e+00,9.988514855340403092e-05,9.988514855340403092e-05,3.333336208015679229e-05
8.272104569422118914e+01,9.398688003515887601e+01,3.704828643798828125e+01,1.199280585900452337e-03,1.199280585900452337e-03,4.000002052634954561e-04,6.885990458081494126e+00,7.822913168251929505e+00,3.074159240722657671e+00,9.987517250695308706e-05,9.987517250695308706e-05,3.333333879709240522e-05
8.960703615230268326e+01,1.018097932034108055e+02,4.012244567871093892e+01,1.299155758407405424e-03,1.299155758407405424e-03,4.333335440605878613e-04,6.884876609429582572e+00,7.821503383351355865e+00,3.072157287597654829e+00,9.986519845280017980e-05,9.986519845280017980e-05,3.333333879709245943e-05
9.649191276173226584e+01,1.096312965867621614e+02,4.319460296630859375e+01,1.399020956860205604e-03,1.399020956860205604e-03,4.666668828576803207e-04,6.883560287785513765e+00,7.820043796268777214e+00,3.070085144042970171e+00,9.985513339833408490e-05,9.985513339833408490e-05,3.333338536322112515e-05
