Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.201524733734152584e+01,1.201524733734152584e+01,4.119513453585960642e-05,4.119513453585960642e-05
1.201524733734152584e+01,1.201524733734152584e+01,4.119513453585960642e-05,4.119513453585960642e-05,1.201871346406797336e+01,1.201871346406797336e+01,4.120701629525521851e-05,4.120701629525521851e-05
2.403396080140949920e+01,2.403396080140949920e+01,8.240215083111482493e-05,8.240215083111482493e-05,1.201995294527765878e+01,1.201995294527765878e+01,4.121126643450695307e-05,4.121126643450695307e-05
3.605391374668715798e+01,3.605391374668715798e+01,1.236134172656217780e-04,1.236134172656217780e-04,1.202193004446604618e+01,1.202193004446604618e+01,4.121805923415115076e-05,4.121805923415115076e-05
4.807584379115320417e+01,4.807584379115320417e+01,1.648314764997729288e-04,1.648314764997729288e-04,1.202391704951002538e+01,1.202391704951002538e+01,4.122485694334503039e-05,4.122485694334503039e-05
6.009976084066322954e+01,6.009976084066322954e+01,2.060563334431179592e-04,2.060563334431179592e-04,1.202589679061711792e+01,1.202589679061711792e+01,4.123164210335415552e-05,4.123164210335415552e-05
7.212565763128034746e+01,7.212565763128034746e+01,2.472879755464721147e-04,2.472879755464721147e-04,1.202788834887209646e+01,1.202788834887209646e+01,4.123846126802250362e-05,4.123846126802250362e-05
8.415354598015244392e+01,8.415354598015244392e+01,2.885264368144946183e-04,2.885264368144946183e-04,1.202986501279440290e+01,1.202986501279440290e+01,4.124527951964704125e-05,4.124527951964704125e-05
9.618341099294684682e+01,9.618341099294684682e+01,3.297717163341416595e-04,3.297717163341416595e-04,1.203184967402096106e+01,1.203184967402096106e+01,4.125207358254064528e-05,4.125207358254064528e-05
1.082152606669678079e+02,1.082152606669678079e+02,3.710237899166823048e-04,3.710237899166823048e-04,1.203384233548582927e+01,1.203384233548582927e+01,4.125886673492690270e-05,4.125886673492690270e-05
1.202491030024536371e+02,1.202491030024536371e+02,4.122826566516092075e-04,4.122826566516092075e-04,1.203582773888948054e+01,1.203582773888948054e+01,4.126570552082683800e-05,4.126570552082683800e-05
1.322849307413431177e+02,1.322849307413431177e+02,4.535483621724360455e-04,4.535483621724360455e-04,1.203780587513665523e+01,1.203780587513665523e+01,4.127252011870057111e-05,4.127252011870057111e-05
1.443227366164797729e+02,1.443227366164797729e+02,4.948208822911366166e-04,4.948208822911366166e-04,1.203980727942030171e+01,1.203980727942030171e+01,4.127933380255978044e-05,4.127933380255978044e-05
1.563625438959000746e+02,1.563625438959000746e+02,5.361002160936963971e-04,5.361002160936963971e-04,1.204177851891915907e+01,1.204177851891915907e+01,4.128614657234310013e-05,4.128614657234310013e-05
