Sigma_1,Sigma_2,Sigma_12,Epsilon_1,Epsilon_2,Epsilon_12,dSigma_1,dSigma_2,dSigma_12,dEpsilon_1,dEpsilon_2,dEpsilon_12
-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.783759662801023183e+01,5.333833138568911636e+01,4.923257598876953267e+01,8.995952041278224964e-04,5.998185879573076328e-04,5.999985150992870331e-04
5.783759662801023183e+01,5.333833138568911636e+01,4.923257598876953267e+01,8.995952041278224964e-04,5.998185879573076328e-04,5.999985150992870331e-04,5.128255375314770959e+01,4.729936235927969790e+01,4.352060394287109801e+01,7.989615236841068717e-04,5.328702166754256068e-04,5.333320237696169940e-04
1.091201503811579414e+02,1.006376937449688143e+02,9.275317993164063068e+01,1.698556727811929368e-03,1.132688804632733240e-03,1.133330538868904027e-03,5.095287455765171103e+01,4.708447899623796218e+01,4.307006225585936932e+01,7.983235079351838018e-04,5.325863242517376965e-04,5.333319306373596625e-04
1.600730249388096524e+02,1.477221727412067764e+02,1.358232421875000000e+02,2.496880235747113170e-03,1.665275128884470936e-03,1.666662469506263690e-03,5.024910188117235066e+01,4.656571042561537865e+01,4.215227050781248863e+01,7.976866958603391101e-04,5.323030128946764587e-04,5.333321169018747591e-04
2.103221268199820031e+02,1.942878831668221551e+02,1.779755126953124886e+02,3.294566931607452280e-03,2.197578141779147395e-03,2.199994586408138449e-03,4.235092052079852465e+01,3.959784809658512472e+01,3.508724975585937500e+01,6.974542488792810288e-04,4.655326544158837343e-04,4.666654393076894065e-04
2.526730473407805277e+02,2.338857312634072798e+02,2.130627624511718636e+02,3.992021180486733309e-03,2.663110796195031129e-03,2.666660025715827855e-03,5.014905342138328592e+01,4.835336271380631956e+01,4.029275512695312500e+01,8.960127647640704976e-04,5.982238996118938168e-04,5.999986082315445814e-04
3.028221007621638137e+02,2.822390939772135994e+02,2.533555175781249886e+02,4.888033945250803806e-03,3.261334695806924946e-03,3.266658633947372437e-03,3.579938619057338656e+01,3.533700811213674342e+01,2.733867187499998863e+01,6.963445205407804012e-04,4.650376337991739099e-04,4.666652530431747437e-04
3.386214869527372002e+02,3.175761020893503428e+02,2.806941894531249773e+02,5.584378465791584208e-03,3.726372329606098856e-03,3.733323886990547180e-03,4.150171323462836881e+01,4.272732650289896128e+01,3.084149169921875000e+01,8.922511744885574386e-04,5.960275193407499339e-04,5.984310060739520681e-04
3.801232001873655690e+02,3.603034285922493041e+02,3.115356811523437273e+02,6.476629640280141646e-03,4.322399848946848790e-03,4.331754893064499248e-03,-5.676431862804747652e+00,2.242073422883885314e+01,-3.082360839843715894e+00,7.945198545916886887e-04,5.308906843672078768e-04,5.333319306373594457e-04
3.744467683245608214e+02,3.827241628210881572e+02,3.084533203125000114e+02,7.271149494871830335e-03,4.853290533314056666e-03,4.865086823701858694e-03,-1.231722178538204275e+02,-3.988918412257186219e+01,-1.096797302246093864e+02,7.194889903139409931e-04,4.808764937117493074e-04,4.833322018384933472e-04
2.512745504707403938e+02,3.428349786985162950e+02,1.987735900878906250e+02,7.990638485185771328e-03,5.334167027025805974e-03,5.348419025540352041e-03,-6.501379708222606268e+01,-1.143858294259945296e+01,-5.567537841796877274e+01,7.716337598004680692e-04,5.158557358732815401e-04,5.187485367059707642e-04
1.862607533885143312e+02,3.313963957559168421e+02,1.430982116699218523e+02,8.762272244986239397e-03,5.850022762899087514e-03,5.867167562246322805e-03,-2.643564202969625399e+01,1.088084200380359334e+01,-2.396206665039059658e+01,8.327873802069247350e-04,5.568863921907984266e-04,5.603097379207611084e-04
1.598251113588180772e+02,3.422772377597204354e+02,1.191361450195312557e+02,9.595059625193164132e-03,6.406909155089885941e-03,6.427477300167083914e-03,-1.247768477625496075e+01,1.697528502471544698e+01,-1.411253051757813637e+01,8.004551093137302065e-04,5.354102457287464312e-04,5.389958620071405929e-04
1.473474265825631164e+02,3.592525227844358824e+02,1.050236145019531193e+02,1.039551473450689434e-02,6.942319400818632372e-03,6.966473162174224507e-03,-6.355475192176896826e+00,1.980496333274612653e+01,-9.827938842773420447e+00,7.914135449466671440e-04,5.295019815973207172e-04,5.333319306373603130e-04
1.409919513903862196e+02,3.790574861171820089e+02,9.519567565917969887e+01,1.118692827945356148e-02,7.471821382415953089e-03,7.499805092811584820e-03,-2.588924187171670610e+00,2.057730027613234824e+01,-6.277642822265647737e+00,7.907877048132609665e-04,5.292217576211913355e-04,5.333319306373585783e-04
1.384030272032145490e+02,3.996347863933143572e+02,8.891803283691405113e+01,1.197771598426682245e-02,8.001043140037144424e-03,8.033137023448943398e-03,-1.236166534230591196e+00,1.859177279035645824e+01,-4.702172851562494316e+00,7.417867802341476108e-04,4.965546544774563503e-04,5.006678402423858643e-04
1.371668606689839578e+02,4.182265591836708154e+02,8.421585998535155682e+01,1.271950276450097006e-02,8.497597794514600775e-03,8.533804863691329262e-03,-5.096291122730463030e-01,1.877762045923651613e+01,-4.256582641601553973e+00,7.906385970166390081e-04,5.293903596873764800e-04,5.340494215488444246e-04
1.366572315567109115e+02,4.370041796429073315e+02,7.995927734375000284e+01,1.351014136151760907e-02,9.026988154201977255e-03,9.067854285240173687e-03,-9.005513779586351575e-01,1.806238721862354168e+01,-3.941979980468758527e+00,7.946881976190044855e-04,5.322407266566044765e-04,5.372099578380574308e-04
1.357566801787522763e+02,4.550665668615308732e+02,7.601729736328124432e+01,1.430482955913661355e-02,9.559228880858581731e-03,9.605064243078231118e-03,-1.431051161647189929e+00,1.756446981567535204e+01,-3.951544189453116473e+00,7.833628235340475005e-04,5.247927451260056553e-04,5.299724638462080528e-04
1.343256290171050864e+02,4.726310366772062252e+02,7.206575317382812784e+01,1.508819238267066105e-02,1.008402162598458739e-02,1.013503670692443917e-02,-1.363958543548591251e+00,1.711024175378338441e+01,-3.853903198242178973e+00,8.023219426686410000e-04,5.376350592313471066e-04,5.432300269603718840e-04
1.329616704735564952e+02,4.897412784309896097e+02,6.821184997558594887e+01,1.589051432533930205e-02,1.062165668521593449e-02,1.067826673388481105e-02,-1.109048972202921846e+01,-1.729817205181757345e+01,-1.836441497802735512e+01,7.702751329499227251e-04,5.162943727301180785e-04,5.219422280788432039e-04
1.218711807515272767e+02,4.724431063791720362e+02,4.984743499755859375e+01,1.666078945828922478e-02,1.113795105794605257e-02,1.120020896196365426e-02,1.224506680399230163e+00,1.947883463798177672e+00,-4.342985534667967329e+00,8.819885723547367384e-04,5.913327299146026866e-04,5.981326103210449219e-04
1.230956874319265069e+02,4.743909898429702139e+02,4.550444946289062642e+01,1.754277803064396152e-02,1.172928378786065526e-02,1.179834157228469918e-02,1.953883856492595328e+00,1.399718703387441110e+01,1.146759033203117895e+00,6.906589446749773764e-04,4.631755563703279788e-04,4.687488079071037983e-04
1.250495712884191022e+02,4.883881768768446250e+02,4.665120849609374432e+01,1.823343697531893889e-02,1.219245934423098324e-02,1.226709038019180298e-02,-1.041301907578755959e+00,1.323125033198522260e+01,-8.682098388671803946e-01,7.852371784688519374e-04,5.267300370242269936e-04,5.333319306373603130e-04
1.240082693808403462e+02,5.016194272088298476e+02,4.578299865722656392e+01,1.901867415378779083e-02,1.271918938125521023e-02,1.280042231082916329e-02,-1.028480526548790408e+00,-4.208102544958535418e+00,-6.360374450683600855e+00,7.839534345715111485e-04,5.260042332879254906e-04,5.328774452209462248e-04
