Sigma_1,Sigma_2,Epsilon_1,Epsilon_2,dSigma_1,dSigma_2,dEpsilon_1,dEpsilon_2
-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.979996523515668239e+00,9.900054605816481779e-01,8.108547494122079550e-06,2.074316248096578541e-06
1.979996523515668239e+00,9.900054605816481779e-01,8.108547494122079550e-06,2.074316248096578541e-06,1.980084186974016669e+00,9.900348402624097321e-01,8.108925572551540842e-06,2.074339593975062120e-06
3.960080710489684908e+00,1.980040300844057910e+00,1.621747306667362039e-05,4.148655842071640662e-06,1.980100563247217504e+00,9.900504514965136060e-01,8.108984961704209394e-06,2.074391679197797424e-06
5.940181273736902412e+00,2.970090752340571516e+00,2.432645802837782979e-05,6.223047521269438086e-06,1.980141498218812579e+00,9.900706525108557976e-01,8.109147664214731428e-06,2.074433214391737902e-06
7.920322771955714991e+00,3.960161404851427314e+00,3.243560569259256121e-05,8.297480735661175988e-06,1.980181242273421738e+00,9.900904961243419677e-01,8.109314727675900284e-06,2.074476204361472024e-06
9.900504014229136729e+00,4.950251900975769281e+00,4.054492042026846150e-05,1.037195694002264801e-05,1.980221941226680826e+00,9.901110552237639695e-01,8.109481786539536933e-06,2.074518466645659405e-06
1.188072595545581756e+01,5.940362956199533251e+00,4.865440220680799843e-05,1.244647540666830742e-05,1.980261687612248522e+00,9.901308992799267017e-01,8.109645930632209928e-06,2.074560000584214892e-06
1.386098764306806608e+01,6.930493855479459953e+00,5.676404813744020836e-05,1.452103540725252231e-05,1.980302388848492967e+00,9.901512204082294488e-01,8.109807160048292292e-06,2.074602262327522608e-06
1.584129003191655904e+01,7.920645075887689401e+00,6.487385529748850065e-05,1.659563766958004492e-05,1.980344045098851424e+00,9.901715417629617377e-01,8.109974205260922346e-06,2.074644523576837322e-06
1.782163407701541047e+01,8.910816617650651139e+00,7.298382950274942299e-05,1.867028219315688224e-05,1.980382841318462539e+00,9.901913864970826040e-01,8.110141245653968811e-06,2.074686784554185002e-06
